x,x_dot,sin_theta,cos_theta,theta_dot,control,x(t+1),X_dot(t+1),sin_theta(t+1),cos_theta(t+1),theta_dot(t+1)
-2.95109149,0.21253927,0.40176987,0.91574067,0.50684469,4.98350726,-2.95002879,0.214857,0.40408927,0.91471955,0.51343631
-2.95002879,0.214857,0.40408927,0.91471955,0.51343631,4.98934066,-2.9489545,0.21717393,0.40643619,0.91367917,0.52007174
-2.9489545,0.21717393,0.40643619,0.91367917,0.52007174,4.99508498,-2.94786863,0.21949004,0.40881071,0.9126192,0.5267515
-2.94786863,0.21949004,0.40881071,0.9126192,0.5267515,5.00073858,-2.94677118,0.22180534,0.4112129,0.91153933,0.53347613
-2.94677118,0.22180534,0.4112129,0.91153933,0.53347613,5.00629977,-2.94566216,0.22411982,0.41364286,0.91043923,0.54024614
-2.94566216,0.22411982,0.41364286,0.91043923,0.54024614,5.01176676,-2.94454156,0.22643348,0.41610065,0.90931856,0.54706206
-2.94454156,0.22643348,0.41610065,0.90931856,0.54706206,5.01713774,-2.94340939,0.22874635,0.41858636,0.908177,0.55392443
-2.94340939,0.22874635,0.41858636,0.908177,0.55392443,5.0224108,-2.94226566,0.23105843,0.42110006,0.90701419,0.56083375
-2.94226566,0.23105843,0.42110006,0.90701419,0.56083375,5.02758399,-2.94111037,0.23336975,0.42364182,0.90582979,0.56779057
-2.94111037,0.23336975,0.42364182,0.90582979,0.56779057,5.03265528,-2.93994352,0.23568034,0.42621172,0.90462344,0.57479539
-2.93994352,0.23568034,0.42621172,0.90462344,0.57479539,5.03762257,-2.93876512,0.23799022,0.42880982,0.90339478,0.58184876
-2.93876512,0.23799022,0.42880982,0.90339478,0.58184876,5.04248372,-2.93757517,0.24029944,0.4314362,0.90214345,0.58895118
-2.93757517,0.24029944,0.4314362,0.90214345,0.58895118,5.04723649,-2.93637367,0.24260804,0.43409092,0.90086907,0.59610319
-2.93637367,0.24260804,0.43409092,0.90086907,0.59610319,5.05187859,-2.93516063,0.24491608,0.43677404,0.89957125,0.60330531
-2.93516063,0.24491608,0.43677404,0.89957125,0.60330531,5.05640766,-2.93393605,0.2472236,0.43948563,0.89824962,0.61055807
-2.93393605,0.2472236,0.43948563,0.89824962,0.61055807,5.06082127,-2.93269993,0.24953067,0.44222575,0.89690378,0.61786197
-2.93269993,0.24953067,0.44222575,0.89690378,0.61786197,5.06511692,-2.93145228,0.25183737,0.44499444,0.89553333,0.62521755
-2.93145228,0.25183737,0.44499444,0.89553333,0.62521755,5.06929205,-2.93019309,0.25414376,0.44779178,0.89413786,0.63262533
-2.93019309,0.25414376,0.44779178,0.89413786,0.63262533,5.07334401,-2.92892237,0.25644994,0.45061781,0.89271697,0.64008582
-2.92892237,0.25644994,0.45061781,0.89271697,0.64008582,5.07727009,-2.92764012,0.25875599,0.45347257,0.89127023,0.64759955
